ID|name
1|Lore-Rich
2|Dynamic Narration
3|Stealth
4|RTS
5|Mature
6|Match 3
7|Gore
8|Crafting
9|Mystery
10|Capitalism
11|Horses
12|Based On A Novel
13|Voice Control
14|Free to Play
15|Choices Matter
16|Indie
17|Class-Based
18|Artificial Intelligence
19|Soundtrack
20|Naval Combat
21|Loot
22|Deckbuilding
23|JRPG
24|Robots
25|Transhumanism
26|Atmospheric
27|Souls-like
28|Sexual Content
29|CRPG
30|Collectathon
31|RPGMaker
32|Vampire
33|Dystopian
34|Character Customization
35|Survival
36|Supernatural
37|Crowdfunded
38|Magic
39|Multiplayer
40|Dungeons & Dragons
41|Quick-Time Events
42|Arcade
43|Linear
44|Spelling
45|Action RTS
46|God Game
47|Fishing
48|FPS
49|Twin Stick Shooter
50|Parody
51|Inventory Management
52|Simulation
53|Diplomacy
54|Emotional
55|VR
56|Beautiful
57|3D Platformer
58|Tactical
59|Minigames
60|Rome
61|Stylized
62|Romance
63|Remake
64|Investigation
65|Fast-Paced
66|Pixel Graphics
67|Open World
68|Hentai
69|Cult Classic
70|Music
71|Education
72|Party-Based RPG
73|Choose Your Own Adventure
74|Local Multiplayer
75|Violent
76|PvE
77|Great Soundtrack
78|Pinball
79|Visual Novel
80|Point & Click
81|Crime
82|Trains
83|Singleplayer
84|Real-Time
85|Walking Simulator
86|4 Player Local
87|Space
88|Family Friendly
89|Political
90|PvP
91|Strategy RPG
92|Asynchronous Multiplayer
93|Cinematic
94|1980s
95|Dark
96|Spectacle fighter
97|Rhythm
98|Dungeon Crawler
99|Racing
100|Real Time Tactics
101|Roguevania
102|Metroidvania
103|Board Game
104|2.5D
105|Life Sim
106|Comedy
107|Funny
108|Top-Down Shooter
109|Roguelite
110|Driving
111|Text-Based
112|Level Editor
113|Shoot 'Em Up
114|Resource Management
115|Retro
116|First-Person
117|Puzzle
118|Social Deduction
119|Local Co-Op
120|Drama
121|Dark Fantasy
122|Arena Shooter
123|Relaxing
124|Unforgiving
125|Card Game
126|Experimental
127|Competitive
128|RPG
129|Nonlinear
130|Economy
131|Action-Adventure
132|MOBA
133|Card Battler
134|Co-op Campaign
135|Combat
136|Wargame
137|Old School
138|Platformer
139|Building
140|Gun Customization
141|Roguelike
142|Tabletop
143|Looter Shooter
144|Philosophical
145|Nudity
146|Sequel
147|Third-Person Shooter
148|Hand-drawn
149|2D
150|Addictive
151|Sailing
152|Military
153|Satire
154|Time Travel
155|Trading Card Game
156|1990's
157|Procedural Generation
158|Time Manipulation
159|Strategy
160|Martial Arts
161|Perma Death
162|Dinosaurs
163|Medieval
164|Nostalgia
165|+
166|Grid-Based Movement
167|2D Fighter
168|Exploration
169|Sports
170|Colorful
171|Top-Down
172|Dwarf
173|Aliens
174|Short
175|Politics
176|Post-apocalyptic
177|Spaceships
178|Score Attack
179|Cute
180|Vehicular Combat
181|Noir
182|4X
183|Political Sim
184|Sci-fi
185|Space Sim
186|Hack and Slash
187|Female Protagonist
188|Kickstarter
189|Destruction
190|Escape Room
191|Automobile Sim
192|Character Action Game
193|Base Building
194|Anime
195|Clicker
196|GameMaker
197|Mouse only
198|Games Workshop
199|Real-Time with Pause
200|War
201|Steampunk
202|Massively Multiplayer
203|Co-op
204|Episodic
205|Realistic
206|Tower Defense
207|Colony Sim
208|Side Scroller
209|Voxel
210|Shooter
211|Hidden Object
212|Assassin
213|Turn-Based Strategy
214|Bullet Hell
215|Epic
216|Puzzle Platformer
217|Auto Battler
218|Dark Humor
219|Hex Grid
220|Thriller
221|Heist
222|Hunting
223|Creature Collector
224|Turn-Based Combat
225|Immersive
226|Superhero
227|Action Roguelike
228|Underwater
229|Surreal
230|Illuminati
231|2D Platformer
232|Warhammer 40K
233|Pirates
234|Mechs
235|Zombies
236|Idler
237|Turn-Based Tactics
238|Touch-Friendly
239|Conversation
240|Interactive Fiction
241|Detective
242|Mythology
243|Mystery Dungeon
244|Minimalist
245|Tactical RPG
246|Cartoon
247|Automation
248|Split Screen
249|MMORPG
250|Third Person
251|Science
252|Otome
253|Nature
254|Psychological Horror
255|LGBTQ+
256|Early Access
257|Werewolves
258|Isometric
259|Trading
260|Logic
261|Cyberpunk
262|Flight
263|Cartoony
264|Horror
265|Lovecraftian
266|Game Development
267|Moddable
268|Tutorial
269|Beat 'em up
270|Adventure
271|Casual
272|Cats
273|Fighting
274|Demons
275|Team-Based
276|Gothic
277|Dog
278|Multiple Endings
279|Immersive Sim
280|Blood
281|Mining
282|Dark Comedy
283|Naval
284|Combat Racing
285|Conspiracy
286|Fantasy
287|3D Vision
288|Comic Book
289|Narration
290|Dating Sim
291|Action
292|Story Rich
293|Sandbox
294|Grand Strategy
295|Villain Protagonist
296|6DOF
297|Classic
298|Difficult
299|Shop Keeper
300|Ambient
301|Open World Survival Craft
302|Survival Horror
303|Action RPG
304|City Builder
305|Dragons
306|Traditional Roguelike
307|Turn-Based
308|Replay Value
309|Management
310|Swordplay
311|Underground
312|Futuristic
313|Alternate History
314|Historical
315|Western
316|Physics
317|Online Co-Op
318|Mars
319|Controller
320|Memes
321|3D
