app_id,name,genres,tags,short_description,price,total_reviews,positive_ratio,release_date,developer,publisher,platforms,header_image
100000,RPG Adventure #115,"[""RPG""]","[""Loot"", ""Story Rich"", ""Hack and Slash"", ""Combat"", ""Third Person"", ""Action"", ""Action RPG""]","An epic action rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Amplitude Studios.",14.99,2346,0.65,2008-01-01,Amplitude Studios,Amplitude Studios,"[""Mac""]",
100001,RPG Adventure #334,"[""RPG""]","[""Isometric"", ""Turn-Based Strategy"", ""Party-Based"", ""Pixel Graphics"", ""Singleplayer"", ""Hand-drawn""]","An epic tactical rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Tactical Adventures.",4.99,847,0.82,2023-01-01,Tactical Adventures,Tactical Adventures,"[""Mac"", ""Linux""]",
100002,Wolcen: Lords of Mayhem,"[""RPG""]","[""Narrative"", ""RPG"", ""Pixel Graphics"", ""Party-Based RPG"", ""Choices Matter"", ""Story Rich""]","An epic crpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Piranha Bytes.",9.99,299,0.81,2019-01-01,Piranha Bytes,Piranha Bytes,"[""Linux"", ""Mac"", ""Windows""]",
100003,RPG Adventure #107,"[""RPG""]","[""Pixel Graphics"", ""Survival"", ""Sandbox"", ""Atmospheric"", ""Multiplayer"", ""Exploration"", ""Non-linear"", ""Open World"", ""Crafting"", ""Moody""]","An epic open world set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Troika Games.",9.99,6156,0.9,2021-01-01,Troika Games,Troika Games,"[""Linux""]",
100004,RPG Adventure #4,"[""RPG""]","[""Cyberpunk"", ""Magic"", ""Dungeon Crawler"", ""Multiplayer"", ""Roguelite"", ""Perma-death"", ""Procedural Generation"", ""Roguelike""]","An epic roguelike set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by FromSoftware.",0.0,103,0.71,2007-01-01,FromSoftware,FromSoftware,"[""Mac"", ""Windows""]",
100005,RPG Adventure #23,"[""RPG""]","[""Isometric"", ""Turn-Based Strategy"", ""Strategy"", ""Pixel Graphics"", ""Multiplayer"", ""Fantasy"", ""Magic"", ""Tactical RPG""]","An epic tactical rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Amplitude Studios.",4.99,1013,0.72,2024-01-01,Amplitude Studios,Amplitude Studios,"[""Windows"", ""Mac""]",
100006,RPG Adventure #266,"[""RPG""]","[""Pixel Graphics"", ""Dark Fantasy"", ""Difficult"", ""Atmospheric"", ""Magic"", ""Moody"", ""Souls-like""]","An epic soulslike set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Grinding Gear Games.",29.99,1813,0.47,2024-01-01,Grinding Gear Games,Grinding Gear Games,"[""Mac"", ""Linux""]",
100007,RPG Adventure #160,"[""RPG""]","[""Cyberpunk"", ""Boss Rush"", ""Pixel Graphics"", ""Dark Fantasy"", ""Atmospheric"", ""Difficult"", ""Multiplayer"", ""Action"", ""Souls-like""]","An epic soulslike set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by inXile Entertainment.",59.99,1721,0.89,2015-01-01,inXile Entertainment,inXile Entertainment,"[""Windows"", ""Linux"", ""Mac""]",
100008,RPG Adventure #25,"[""RPG""]","[""Loot"", ""Hack and Slash"", ""Combat"", ""Action"", ""Magic"", ""Action RPG""]","An epic action rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Larian Studios.",14.99,4731,0.73,2012-01-01,Larian Studios,Larian Studios,"[""Windows"", ""Mac"", ""Linux""]",
100009,RPG Adventure #284,"[""RPG""]","[""Isometric"", ""Turn-Based Strategy"", ""Strategy"", ""Multiplayer"", ""Tactical RPG""]","An epic tactical rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Tactical Adventures.",39.99,2281,0.69,2012-01-01,Tactical Adventures,Tactical Adventures,"[""Mac"", ""Windows"", ""Linux""]",
100010,RPG Adventure #354,"[""RPG""]","[""Isometric"", ""Party-Based"", ""Turn-Based Strategy"", ""Strategy"", ""Atmospheric"", ""Multiplayer""]","An epic tactical rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by inXile Entertainment.",39.99,3044,0.7,2015-01-01,inXile Entertainment,inXile Entertainment,"[""Linux""]",
100011,RPG Adventure #366,"[""RPG""]","[""Cyberpunk"", ""Pixel Graphics"", ""Sandbox"", ""Fantasy"", ""Open World"", ""Crafting"", ""Hand-drawn""]","An epic open world set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by CD Projekt Red.",39.99,3610,0.85,2004-01-01,CD Projekt Red,CD Projekt Red,"[""Windows"", ""Mac""]",
100012,RPG Adventure #43,"[""RPG""]","[""Cyberpunk"", ""Co-op"", ""Sandbox"", ""Exploration"", ""Non-linear"", ""Open World"", ""Crafting"", ""Dark"", ""Story Rich""]","An epic open world set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Troika Games.",0.0,4487,0.79,2023-01-01,Troika Games,Troika Games,"[""Windows"", ""Linux"", ""Mac""]",
100013,RPG Adventure #166,"[""RPG""]","[""Isometric"", ""Magic"", ""Multiplayer"", ""Classic RPG"", ""Party-Based RPG""]","An epic crpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Troika Games.",4.99,934,0.72,2018-01-01,Troika Games,Troika Games,"[""Linux""]",
100014,RPG Adventure #430,"[""RPG""]","[""Isometric"", ""Narrative"", ""RPG"", ""Fantasy"", ""Party-Based RPG"", ""Dark"", ""Hand-drawn""]","An epic crpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Amplitude Studios.",19.99,336,0.71,2018-01-01,Amplitude Studios,Amplitude Studios,"[""Linux"", ""Mac"", ""Windows""]",
100015,RPG Adventure #10,"[""RPG""]","[""Third Person"", ""Singleplayer"", ""Action"", ""Combat""]","An epic action rpg set in a dark fantasy world. Explore vast lands, fight powerful enemies and uncover ancient mysteries. Developed by Grinding Gear Games.",39.99,513,0.89,2021-01-01,Grinding Gear Games,Grinding Gear Games,"[""Windows"", ""Linux""]",
