ID|name
1|Remote Play on Tablet
2|Playable without Timed Input
3|Cross-Platform Multiplayer
4|MMO
5|Family Sharing
6|Save Anytime
7|VR Supported
8|Surround Sound
9|Touch Only Option
10|Custom Volume Controls
11|HDR available
12|Shared/Split Screen
13|Shared/Split Screen Co-op
14|Subtitle Options
15|Adjustable Text Size
16|Stats
17|Online Co-op
18|Steam Achievements
19|Partial Controller Support
20|Steam Trading Cards
21|Remote Play on TV
22|Color Alternatives
23|Keyboard Only Option
24|VR Only
25|In-App Purchases
26|Steam Leaderboards
27|Online PvP
28|Single-player
29|Camera Comfort
30|LAN PvP
31|Steam Workshop
32|Remote Play Together
33|Co-op
34|Captions available
35|Valve Anti-Cheat enabled
36|Mouse Only Option
37|Stereo Sound
38|Steam Timeline
39|Includes level editor
40|Tracked Controller Support
41|Adjustable Difficulty
42|Remote Play on Phone
43|Commentary available
44|Steam Cloud
45|Multi-player
46|Full controller support
47|LAN Co-op
48|VR Support
49|PvP
50|Shared/Split Screen PvP
